path,partition,bytes,lines,sha256
elphon_potential.F,vibrations,179619,4273,b2bd1e1c7b0a2cd0035feb5805525ae77e5e7836e1232189de4b28ccc23cd3bf
elphon_potential_struct.F,vibrations,10192,206,bdcc0d14f12a46ae46d450eed8615134bf0347f97becb7c76daf34e5ec91b256
elphon_selfen_ph.F,vibrations,65349,1324,b6bb9296779e4076d0e53e8924dea31ce4527aacf410d35162a6464149efd41d
elphon_triplets.F,vibrations,4906,116,d4ff22a83d0d67e2c1bd78a2769203ec23344d56f529208762de501628eb859b
elpol.F,response,58779,1906,4b1efafa9f40303675578ef041bf06fdd72af412aa53592615e79654dea6fca7
embed.F,localized,83394,2506,cf8c8929a98cbe6596920bf728a1463a7b7d5b5433e19c1fde5fb758a5ba7861
esf.F,many_body,67407,1698,565c57e013d0d3987fe23e8dee49d6e0aa76151e9c784729ef60f52732b1e3e4
esf_struct.F,many_body,2557,68,a8769bffb504b33261815377fcdb156ad118386ccc469052e6452dd94deb9ce5
extpot.F,electrostatics,2222,73,36cf31b374030321147e1294a9e272420accc1bde1848eb1e4bb27c7cae0af6c
fast_aug.F,paw,128608,4019,a3a8ed07e2ad8a7cde11f3dca5a3ae48dbc7b3750be773d1339306cc00cd119e
fcidump.F,localized,78927,1875,78e6e0376b06dcdc9338adfaf9b5402a2731085d310effcb7d00251e48c99c1b
fermi_energy.F,electronic_solution,20237,509,3cf0cc543bb7967d683182d36fdc9ba4546721a51de0edbeb6d94a3a5ed44add
fexcg.F,xc,55247,1365,591d36abec35acad39b8adcff4d89ae95ea4ce4d6665aa61c16a5ca25a71875a
fft_base.F,representation,71272,2298,d37a8ed92cd5986b57ac19e9de6df4169b168182232e039be857861aa21f2e87
fft_comm.F,representation,17435,559,329a1a24bc9e9b72ba7ed9ef5011f9723ed66eb98f9acc74160a47c95d8510c4
fft_wrappers.F,representation,4180,186,e6d6646f40286a3445d665b1ea11473fcce3fefaf9aa2159371da0fa0f48beae
fftlib/LICENSE,representation,1291,10,0161a584c94b1dc296626ef7df4e79cab6738a8afabf73711b59e1c7d2e4ffec
fftlib/README.md,representation,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
fftlib/howto.txt,representation,1302,34,930f59d53b13fd3ed0e70a35e2249f28077e95e25dbc4952ddf093bbf2c1deea
fftlib/include/fftlib/fftlib.hpp,representation,2939,97,cd28ee2b2035bcb0ada638e03f9c1325ba91673178f3866b263cd2758dec5935
fftlib/include/fftlib/fftlib_configuration.hpp,representation,2524,64,33236354b828f86596ed1e9caebf3a328bacfab8f2f259ae502a7c9d62dee148
fftlib/include/fftlib/fftlib_configuration_implementation.hpp,representation,5632,139,131f163d19984969f8b6a0e09e56b7502c6edea050074c6ec65e2bb1f658bf7c
